,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
753,8682300890,8/28/2014,699800.0,2,2.5,2380,6600,1.0,,NONE,Average,8 Good,2380,0.0,2010,,98053,47.717,-122.02,1870,6600
1418,8073000550,4/15/2015,1700000.0,4,3.75,3190,17186,2.0,YES,EXCELLENT,Average,10 Very Good,3190,0.0,1999,0.0,98178,47.5115,-122.246,2290,13496
8178,7212680850,9/3/2014,258000.0,3,2.5,1730,6930,2.0,NO,NONE,Average,8 Good,1730,0.0,1994,0.0,98003,47.2621,-122.308,1780,6930
2254,8880600070,11/12/2014,245000.0,4,2.0,1870,8750,1.0,NO,AVERAGE,Average,7 Average,1870,0.0,1977,0.0,98022,47.1985,-122.001,1770,8207
4063,7226500100,2/19/2015,373000.0,8,3.0,2850,12714,1.0,,NONE,Average,7 Average,2850,0.0,1959,0.0,98055,47.4859,-122.205,1480,4942
20396,1972202187,10/24/2014,565000.0,3,2.5,1870,1058,3.0,NO,NONE,Average,8 Good,1380,490.0,2007,0.0,98103,47.6512,-122.345,1440,1136
16030,1592300010,9/26/2014,600000.0,5,3.5,3580,21343,1.5,NO,NONE,Good,8 Good,2140,1440.0,1937,,98155,47.7646,-122.302,2430,21343
21212,7853320950,10/23/2014,412500.0,3,2.0,1680,5246,1.0,NO,NONE,Average,7 Average,1680,0.0,2007,0.0,98065,47.5206,-121.868,2430,6883
6933,686450080,7/11/2014,800000.0,4,2.25,3220,8436,2.0,NO,NONE,Average,8 Good,3220,0.0,1968,0.0,98008,47.6381,-122.116,2500,7632
6442,3356404198,1/29/2015,286000.0,4,2.5,2060,16000,2.0,NO,NONE,Average,6 Low Average,2060,0.0,1993,0.0,98001,47.2849,-122.251,1530,8000
9841,9350900550,4/29/2015,890000.0,4,2.25,2870,8393,1.0,NO,NONE,Good,8 Good,1480,1390.0,1977,0.0,98040,47.5787,-122.245,2930,9850
17178,3095000185,10/13/2014,526000.0,3,1.0,1320,5250,1.5,NO,NONE,Very Good,7 Average,1320,0.0,1913,0.0,98126,47.5566,-122.378,1490,5250
4244,9526600090,4/24/2015,750000.0,4,2.5,2680,4548,2.0,NO,NONE,Average,8 Good,2680,0.0,2009,0.0,98052,47.7073,-122.114,2750,4548
15783,8731981640,12/4/2014,277500.0,4,2.5,2550,7500,1.0,NO,NONE,Average,8 Good,1750,800.0,1976,0.0,98023,47.3165,-122.386,2260,8800
2438,7853250160,2/20/2015,520000.0,4,2.5,3060,7161,2.0,,NONE,Average,8 Good,2860,200.0,2005,0.0,98065,47.5383,-121.879,2950,6822
20699,1982201596,1/12/2015,540000.0,3,1.75,1630,1404,2.0,NO,NONE,Average,8 Good,1020,610.0,2014,0.0,98107,47.6646,-122.367,1420,1670
2069,8691350200,4/17/2015,884250.0,4,2.5,3840,12151,2.0,NO,NONE,Average,10 Very Good,3840,0.0,1998,0.0,98075,47.5953,-121.986,3560,11044
16415,3425059173,10/28/2014,865000.0,4,4.0,2790,16117,2.0,NO,NONE,Good,9 Better,2790,0.0,1999,,98005,47.6033,-122.155,2740,25369
12029,2991000160,12/12/2014,312500.0,4,0.5,2300,5570,2.0,NO,NONE,Average,8 Good,2300,?,1996,,98092,47.3285,-122.168,1820,6371
5224,9828702890,2/11/2015,760000.0,5,1.5,3050,2992,1.5,NO,NONE,Good,8 Good,1920,1130.0,1931,0.0,98112,47.621,-122.302,1200,1209
15290,7806500290,8/18/2014,535000.0,3,2.5,2790,19485,2.0,NO,NONE,Average,9 Better,2790,0.0,1990,0.0,98059,47.4688,-122.124,2580,17859
18620,3518000180,11/20/2014,179950.0,2,1.0,1100,7323,1.0,,NONE,Average,7 Average,780,320.0,1982,0.0,98023,47.2874,-122.37,1410,7227
13644,4239410220,4/2/2015,210000.0,2,1.0,1520,4700,2.0,NO,NONE,Good,7 Average,1520,0.0,1978,,98092,47.3187,-122.182,1140,3906
1078,390100060,4/21/2015,325000.0,3,1.0,1040,7541,1.0,NO,NONE,Average,6 Low Average,1040,0.0,1951,0.0,98133,47.7565,-122.339,1140,6100
14979,4222310010,12/26/2014,152500.0,4,1.0,1730,7350,1.5,NO,NONE,Good,6 Low Average,1730,0.0,1970,,98003,47.3467,-122.307,1440,7752
2175,3317500030,3/16/2015,1090000.0,3,2.5,3630,11019,1.0,,NONE,Good,9 Better,2150,1480.0,1972,0.0,98040,47.56100000000001,-122.226,3150,13555
4125,6852700412,9/19/2014,625000.0,3,3.5,1560,1490,2.0,NO,NONE,Average,8 Good,1240,320.0,1995,0.0,98102,47.6248,-122.319,1560,1662
624,6411600069,5/21/2014,325000.0,3,1.0,990,6750,1.0,NO,NONE,Good,6 Low Average,990,0.0,1947,0.0,98133,47.7125,-122.331,1440,6860
5083,921059132,8/13/2014,350000.0,3,2.0,1680,81893,1.0,NO,NONE,Average,7 Average,1680,0.0,1991,0.0,98092,47.3248,-122.179,2480,38637
16962,3797710020,3/27/2015,325000.0,4,2.25,1770,7799,2.0,NO,NONE,Average,7 Average,1770,0.0,1998,0.0,98031,47.4192,-122.202,1770,7778
13321,1828000760,7/14/2014,529950.0,3,2.0,1540,8400,1.0,NO,NONE,Average,7 Average,1180,360.0,1968,0.0,98052,47.6554,-122.129,1550,8760
8965,9828702667,5/19/2014,482500.0,3,2.25,1450,1445,2.0,NO,NONE,Average,7 Average,980,470.0,2005,0.0,98122,47.6184,-122.301,1510,1370
4105,985000900,11/5/2014,198500.0,3,1.75,1520,7137,1.0,,NONE,Average,5 Fair,1520,0.0,1932,0.0,98168,47.4924,-122.311,1240,8602
9270,4443800385,8/18/2014,410000.0,2,1.0,1480,4080,1.0,,NONE,Average,7 Average,1050,430.0,1949,0.0,98117,47.6842,-122.393,1310,4080
15276,2458400345,10/28/2014,340000.0,3,2.0,1420,6060,1.0,NO,NONE,Very Good,7 Average,830,?,1942,0.0,98146,47.5102,-122.372,1420,6360
3550,6385900090,11/3/2014,277500.0,4,2.25,1660,7184,1.0,NO,NONE,Average,7 Average,1110,550.0,1963,0.0,98188,47.4678,-122.294,1640,7200
4353,3364900375,4/23/2015,750000.0,2,1.0,1620,6120,1.0,NO,NONE,Average,7 Average,1620,0.0,1951,0.0,98115,47.6731,-122.326,1650,4590
16074,4310703070,4/13/2015,650000.0,6,3.0,2960,5000,1.0,NO,NONE,Average,8 Good,1790,1170.0,1968,0.0,98103,47.6971,-122.341,1280,1251
147,3224079105,8/6/2014,430000.0,2,2.5,2420,60984,2.0,NO,NONE,Average,7 Average,2420,0.0,2007,0.0,98027,47.5262,-121.943,1940,193842
12567,7689600360,6/13/2014,215000.0,2,1.0,710,7200,1.0,NO,NONE,Average,6 Low Average,710,?,1943,0.0,98178,47.4903,-122.245,960,7200
7852,23500180,5/5/2014,570000.0,3,2.25,2010,6000,1.0,NO,NONE,Average,8 Good,1330,680.0,1975,0.0,98052,47.6912,-122.115,2080,8260
21242,2424059163,7/9/2014,1240000.0,5,3.5,5430,10327,2.0,,AVERAGE,Average,10 Very Good,4010,1420.0,2007,0.0,98006,47.5476,-122.116,4340,10324
7175,7936000403,6/9/2014,568000.0,3,1.75,2050,3520,1.0,NO,NONE,Good,7 Average,1070,980.0,1977,0.0,98136,47.5536,-122.399,2050,16083
12462,8718500560,6/27/2014,300000.0,3,1.5,1590,8911,1.0,NO,NONE,Average,7 Average,1590,0.0,1956,0.0,98028,47.7394,-122.252,1590,9625
6402,6338000592,8/20/2014,565000.0,3,1.75,1540,4800,1.0,NO,NONE,Good,6 Low Average,770,770.0,1925,,98105,47.67,-122.284,1510,4080
1354,3904940070,2/27/2015,643000.0,4,2.5,2270,8391,2.0,NO,NONE,Average,8 Good,2270,?,1988,,98029,47.574,-122.013,2420,8391
7217,1786200010,5/14/2015,456500.0,4,2.5,2580,11780,2.0,NO,NONE,Average,9 Better,2580,0.0,2003,0.0,98038,47.3658,-122.04,2410,8403
19507,9407000230,12/4/2014,240000.0,3,1.0,1600,12566,1.0,NO,NONE,Good,7 Average,1600,0.0,1971,,98045,47.4431,-121.765,1600,10650
18033,3322049095,2/5/2015,240000.0,3,1.0,1690,20063,1.5,NO,NONE,Good,7 Average,1690,0.0,1913,0.0,98001,47.3556,-122.294,1700,15899
17987,4036400110,1/29/2015,300000.0,3,2.75,2340,12282,1.0,NO,AVERAGE,Average,8 Good,1470,870.0,1978,0.0,98155,47.7379,-122.289,2640,8887
19442,1545807180,5/6/2015,190000.0,4,1.75,1900,9861,1.0,NO,NONE,Good,7 Average,1900,0.0,1967,0.0,98038,47.3615,-122.057,1720,7967
11149,3971700903,1/22/2015,422250.0,3,1.75,1650,7145,2.0,NO,NONE,Very Good,8 Good,1300,350.0,1977,0.0,98155,47.7733,-122.324,1760,7206
17663,2724079014,3/31/2015,721500.0,3,3.25,2970,234788,2.0,NO,GOOD,Average,9 Better,2040,930.0,1991,0.0,98024,47.5353,-121.897,2970,220413
6388,8700500020,11/26/2014,324950.0,3,2.5,1560,9600,1.0,NO,NONE,Average,7 Average,1210,?,1964,,98188,47.457,-122.27,2070,9600
8541,5127000410,6/27/2014,350000.0,5,1.75,2330,14322,1.0,NO,NONE,Good,7 Average,1180,1150.0,1968,0.0,98059,47.4768,-122.155,1690,10010
9577,1186000150,1/23/2015,563250.0,3,1.75,1370,2800,1.0,NO,NONE,Very Good,7 Average,800,570.0,1982,0.0,98122,47.6157,-122.291,2270,3773
8492,4019300155,8/21/2014,911100.0,4,3.25,3330,33826,2.0,NO,NONE,Very Good,8 Good,3330,0.0,1924,0.0,98155,47.7596,-122.275,2580,28707
21062,7383450250,3/11/2015,374950.0,4,2.5,2090,3777,2.0,NO,NONE,Average,8 Good,2090,0.0,2012,0.0,98038,47.3595,-122.042,2160,3993
1083,6114600030,5/20/2014,675000.0,4,3.0,2690,28300,1.0,NO,NONE,Average,8 Good,2690,0.0,1954,1999.0,98166,47.4458,-122.343,2820,27100
3604,1770000090,4/7/2015,484000.0,3,1.75,1950,17400,1.0,NO,NONE,Average,7 Average,1210,740.0,1976,0.0,98072,47.7424,-122.091,1900,17250
13973,3052701135,6/26/2014,626000.0,3,1.75,2430,5000,2.0,NO,NONE,Good,7 Average,1760,670.0,1945,0.0,98117,47.6785,-122.372,1320,4062
20181,9206500250,9/9/2014,1100000.0,4,4.0,3770,8899,2.0,NO,NONE,Average,10 Very Good,2940,830.0,2006,0.0,98074,47.6476,-122.079,3300,8308
6292,9320350020,6/30/2014,490000.0,4,3.0,2330,3497,2.0,NO,NONE,Average,9 Better,1920,410.0,2003,0.0,98108,47.554,-122.308,2330,5242
20471,9103000455,4/24/2015,920000.0,4,3.25,2190,4265,2.0,NO,NONE,Average,9 Better,1540,650.0,2015,0.0,98122,47.6178,-122.29,1730,4265
21561,3881900317,1/23/2015,579000.0,4,3.25,1900,2631,2.0,NO,NONE,Average,9 Better,1250,650.0,2014,0.0,98144,47.5869,-122.311,1710,4502
8854,1226059161,12/29/2014,562000.0,4,2.75,2560,83200,1.0,NO,NONE,Average,8 Good,1860,700.0,1980,0.0,98072,47.7511,-122.111,1990,38332
991,1455600030,1/8/2015,645000.0,4,2.0,2780,11583,1.0,NO,GOOD,Average,8 Good,1190,1590.0,1955,0.0,98125,47.7293,-122.284,2580,10241
2447,4389200796,5/22/2014,1600000.0,3,2.5,3160,12824,1.0,NO,AVERAGE,Good,9 Better,1820,1340.0,1966,0.0,98004,47.6151,-122.216,3390,11985
1887,3319500922,4/21/2015,345000.0,2,1.5,830,920,2.0,NO,NONE,Average,7 Average,830,0.0,2005,0.0,98144,47.5998,-122.306,830,1200
19632,2114700368,11/18/2014,299000.0,2,2.5,1400,1262,2.0,NO,NONE,Average,8 Good,1160,240.0,2008,0.0,98106,47.5342,-122.349,1060,1524
10316,9557300570,3/27/2015,554500.0,3,2.25,1880,6565,1.0,,NONE,Good,8 Good,1420,460.0,1972,0.0,98008,47.6396,-122.113,2060,7280
15569,808300470,12/2/2014,436000.0,4,2.5,2495,5751,2.0,NO,NONE,Average,7 Average,2495,0.0,2002,,98019,47.7243,-121.957,2490,6300
19324,3019300090,7/23/2014,535000.0,2,3.5,2560,5000,1.0,NO,NONE,Good,6 Low Average,1280,1280.0,1944,0.0,98107,47.6681,-122.368,1390,4000
18926,7805450870,8/14/2014,909000.0,4,2.5,3680,11648,2.0,NO,NONE,Average,10 Very Good,3680,0.0,1986,0.0,98006,47.5604,-122.107,2830,11251
10351,9536600105,1/9/2015,600000.0,3,2.75,2080,16740,1.0,NO,GOOD,Average,8 Good,1580,500.0,1966,0.0,98198,47.3632,-122.324,2175,7568
13850,2310110120,8/8/2014,365000.0,3,2.5,2190,5091,2.0,NO,NONE,Average,8 Good,2190,0.0,2004,0.0,98038,47.3506,-122.039,2200,5948
7985,2734100835,3/3/2015,90000.0,1,1.0,780,4000,1.0,NO,NONE,Average,5 Fair,780,0.0,1905,,98108,47.5424,-122.321,1150,4000
14556,8122100905,6/24/2014,395000.0,4,1.75,1540,5120,1.0,NO,NONE,Very Good,6 Low Average,770,770.0,1943,,98126,47.5359,-122.372,1080,5120
