,Unnamed: 0.1,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,geometry,police_dist,police_station_name,medical_dist,medical_name,school_dist,school_name,farmers_market_dist,farmers_market_name,view_y_n,basement_y_n,grade_10 Very Good,grade_11 Excellent,grade_5 Fair,grade_6 Low Average,grade_7 Average,grade_8 Good,grade_9 Better,condition_Average,condition_Fair,condition_Good,condition_Poor,condition_Very Good
4495,4495,8/18/2014,3,3.25,1370,1194,3.0,1370,0.0,2004,0.0,98107,47.6718,-122.388,1800,2678,POINT (-122.388 47.6718),0.056725593368349925,Seattle Police Harbor Patrol Office,0.0040630755394175065,Swedish Clinic Ballard,0.004456020616745154,Adams Elementary School,0.007212177426002527,Ballard Farmers Market,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4860,4860,2/18/2015,2,1.0,1160,6911,1.0,1160,0.0,1947,0.0,98125,47.7149,-122.318,1120,6948,POINT (-122.318 47.7149),0.0206088545456296,Seattle Police North Precinct,0.0089237056266322,Kindred Hospital Seattle - Northgate,0.0036789722888055133,Hazel Wolf K-8 School,0.0205483815743634,Lake City Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5234,5234,7/8/2014,3,1.5,1520,7123,1.0,1520,0.0,1959,0.0,98056,47.4991,-122.176,1450,8023,POINT (-122.176 47.4991),0.03787414187042045,Renton Police Department,0.02078371531884096,Kaiser Permanente - Renton,0.005240871375333969,Renton Technical College,0.03742249709414813,Renton Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1780,1780,8/15/2014,2,1.0,840,12252,1.0,840,0.0,1994,0.0,98010,47.3069,-122.013,1010,11876,POINT (-122.013 47.3069),0.010649673951662277,Black Diamond Police Department,0.06599454828966736,Valley Medical Lake Sawyer Primary Care,0.008538526997951637,Black Diamond Elementary School,0.06931639536324986,Maple Valley Farmers Market,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7270,7270,7/24/2014,3,1.0,830,3386,1.0,830,0.0,1942,0.0,98133,47.7027,-122.355,1300,3844,POINT (-122.355 47.7027),0.020220308650557187,Seattle Police North Precinct,0.012964446506136484,Blood Bank-Northend,0.00694693647660632,Viewlands Elementary School,0.024801605104714502,Phinney Farmers Market,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3919,3919,9/3/2014,3,1.5,1480,13457,1.0,1480,0.0,1959,0.0,98007,47.5914,-122.136,2100,10517,POINT (-122.136 47.5914),0.0068931886932423825,WSP District 2 Headquarters and Communications,0.02769868020568915,Kaiser Permanente - Factoria,0.005184825850491743,Big Picture School,0.02926781004858372,Crossroads Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16387,16387,1/26/2015,3,1.5,1660,6000,1.5,1660,0.0,1937,0.0,98199,47.6409,-122.401,1640,6000,POINT (-122.401 47.6409),0.0635409769168176,Seattle Police Harbor Patrol Office,0.0017159456815066653,Swedish Clinic Magnolia,0.0019733799032271566,Catharine Blaine K-8 School,0.0016400996959189994,Magnolia Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21269,21269,4/21/2015,2,1.5,1090,847,3.0,1090,0.0,2009,0.0,98133,47.7235,-122.352,1090,1118,POINT (-122.352 47.7235),0.026820519565121805,Seattle Police North Precinct,0.01728003443030104,Northwest Hospital and Medical Center,0.002617067159914748,Broadview-Thomson K-8 School,0.01919431183370915,Shoreline Farmers Market,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
19111,19111,10/8/2014,2,1.0,890,8180,1.0,890,0.0,1947,0.0,98155,47.737,-122.3,1130,8180,POINT (-122.3 47.737),0.028089566838574543,Lake Forest Park Police Department,0.0370809017837551,Kindred Hospital Seattle - Northgate,0.003035235286226028,Shoreline Christian School,0.017514291028317117,Lake City Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16132,16132,2/4/2015,3,1.75,2150,8925,1.0,2150,0.0,1960,0.0,98008,47.6253,-122.119,1100,7875,POINT (-122.119 47.6253),0.0133789625490325,Crossroads Police Substation,0.04777971115155999,Bellevue CBOC (Valor Healthcare),0.005593230678888682,Sherwood Forest Elementary School-Bellevue,0.012617758302557016,Crossroads Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17944,17944,6/24/2014,4,3.0,3330,4000,1.0,1790,1540.0,1958,0.0,98103,47.6559,-122.344,1610,4000,POINT (-122.344 47.6559),0.012027679852227942,Seattle Police Harbor Patrol Office,0.021685654980800512,Swedish Clinic Queen Anne,0.005178105742829153,B.F. Day Elementary School,0.016073172617747704,Wallingford Farmers Market,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
6415,6415,6/13/2014,4,2.0,3140,10875,1.0,1940,1200.0,1939,1969.0,98199,47.6656,-122.406,3300,10080,POINT (-122.406 47.6656),0.07120006434120918,Seattle Police Harbor Patrol Office,0.021029696539391025,Swedish Clinic Ballard,0.01597095473088037,Adams Elementary School,0.02301847928531266,Ballard Farmers Market,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
