,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
753,8/28/2014,2,2.5,2380,6600,1.0,,NONE,Average,8 Good,2380,0.0,2010,,98053,47.717,-122.02,1870,6600
1418,4/15/2015,4,3.75,3190,17186,2.0,YES,EXCELLENT,Average,10 Very Good,3190,0.0,1999,0.0,98178,47.5115,-122.246,2290,13496
8178,9/3/2014,3,2.5,1730,6930,2.0,NO,NONE,Average,8 Good,1730,0.0,1994,0.0,98003,47.2621,-122.308,1780,6930
2254,11/12/2014,4,2.0,1870,8750,1.0,NO,AVERAGE,Average,7 Average,1870,0.0,1977,0.0,98022,47.1985,-122.001,1770,8207
4063,2/19/2015,8,3.0,2850,12714,1.0,,NONE,Average,7 Average,2850,0.0,1959,0.0,98055,47.4859,-122.205,1480,4942
20396,10/24/2014,3,2.5,1870,1058,3.0,NO,NONE,Average,8 Good,1380,490.0,2007,0.0,98103,47.6512,-122.345,1440,1136
16030,9/26/2014,5,3.5,3580,21343,1.5,NO,NONE,Good,8 Good,2140,1440.0,1937,,98155,47.7646,-122.302,2430,21343
21212,10/23/2014,3,2.0,1680,5246,1.0,NO,NONE,Average,7 Average,1680,0.0,2007,0.0,98065,47.5206,-121.868,2430,6883
6933,7/11/2014,4,2.25,3220,8436,2.0,NO,NONE,Average,8 Good,3220,0.0,1968,0.0,98008,47.6381,-122.116,2500,7632
6442,1/29/2015,4,2.5,2060,16000,2.0,NO,NONE,Average,6 Low Average,2060,0.0,1993,0.0,98001,47.2849,-122.251,1530,8000
9841,4/29/2015,4,2.25,2870,8393,1.0,NO,NONE,Good,8 Good,1480,1390.0,1977,0.0,98040,47.5787,-122.245,2930,9850
17178,10/13/2014,3,1.0,1320,5250,1.5,NO,NONE,Very Good,7 Average,1320,0.0,1913,0.0,98126,47.5566,-122.378,1490,5250
4244,4/24/2015,4,2.5,2680,4548,2.0,NO,NONE,Average,8 Good,2680,0.0,2009,0.0,98052,47.7073,-122.114,2750,4548
15783,12/4/2014,4,2.5,2550,7500,1.0,NO,NONE,Average,8 Good,1750,800.0,1976,0.0,98023,47.3165,-122.386,2260,8800
2438,2/20/2015,4,2.5,3060,7161,2.0,,NONE,Average,8 Good,2860,200.0,2005,0.0,98065,47.5383,-121.879,2950,6822
20699,1/12/2015,3,1.75,1630,1404,2.0,NO,NONE,Average,8 Good,1020,610.0,2014,0.0,98107,47.6646,-122.367,1420,1670
2069,4/17/2015,4,2.5,3840,12151,2.0,NO,NONE,Average,10 Very Good,3840,0.0,1998,0.0,98075,47.5953,-121.986,3560,11044
16415,10/28/2014,4,4.0,2790,16117,2.0,NO,NONE,Good,9 Better,2790,0.0,1999,,98005,47.6033,-122.155,2740,25369
12029,12/12/2014,4,0.5,2300,5570,2.0,NO,NONE,Average,8 Good,2300,?,1996,,98092,47.3285,-122.168,1820,6371
5224,2/11/2015,5,1.5,3050,2992,1.5,NO,NONE,Good,8 Good,1920,1130.0,1931,0.0,98112,47.621,-122.302,1200,1209
15290,8/18/2014,3,2.5,2790,19485,2.0,NO,NONE,Average,9 Better,2790,0.0,1990,0.0,98059,47.4688,-122.124,2580,17859
18620,11/20/2014,2,1.0,1100,7323,1.0,,NONE,Average,7 Average,780,320.0,1982,0.0,98023,47.2874,-122.37,1410,7227
13644,4/2/2015,2,1.0,1520,4700,2.0,NO,NONE,Good,7 Average,1520,0.0,1978,,98092,47.3187,-122.182,1140,3906
