,price
4325,469000.0
4680,175000.0
5045,292600.0
1713,190000.0
7026,295000.0
3769,475000.0
15861,578000.0
20594,319000.0
18502,275400.0
15615,437400.0
17379,850000.0
6198,775000.0
14247,236000.0
7889,370000.0
10504,575000.0
3511,387500.0
7222,370000.0
8596,392500.0
10146,385000.0
18554,475000.0
5508,263000.0
4896,475000.0
2878,320000.0
2583,461000.0
3394,865000.0
3588,277284.0
13692,433000.0
4707,365000.0
17790,474000.0
12571,340000.0
6501,319000.0
11710,555000.0
17315,239000.0
17842,358500.0
4706,952000.0
4577,800866.0
9780,860000.0
15099,312000.0
8582,287000.0
17212,799000.0
8948,273000.0
19462,439990.0
16666,299900.0
4044,255000.0
15053,560000.0
20658,565000.0
4143,430000.0
20557,510000.0
6705,589900.0
19689,359950.0
7326,379900.0
20770,380000.0
20329,338500.0
18454,191000.0
6936,249000.0
4843,464000.0
17382,765000.0
13359,479000.0
11680,490000.0
11825,589000.0
19588,1300000.0
19721,390000.0
8565,205950.0
17388,260000.0
5954,352000.0
20285,355000.0
8200,200000.0
15759,672500.0
6903,721000.0
16263,352500.0
1768,1100000.0
2250,1370000.0
12256,209950.0
19354,759000.0
11986,352000.0
6983,438000.0
7801,450000.0
7223,260656.0
12610,532000.0
15143,420000.0
4519,1200000.0
18216,400000.0
16060,685000.0
5472,998000.0
12578,230000.0
20638,685000.0
17139,242000.0
2864,495000.0
2725,675500.0
9652,620000.0
1527,443500.0
13043,790000.0
482,625000.0
10466,945000.0
1493,957500.0
9393,270000.0
133,675000.0
19260,1260000.0
7536,321000.0
3425,539950.0
20112,749950.0
20359,518380.0
7852,344950.0
6725,1580000.0
15009,242000.0
12341,650000.0
20755,650000.0
9938,595000.0
1624,510000.0
15059,620000.0
4189,600000.0
17477,210000.0
6797,717000.0
19858,250000.0
13501,306500.0
7231,242000.0
18899,379950.0
3919,280000.0
3752,455000.0
4520,670000.0
20776,249000.0
10414,630000.0
11598,1300000.0
5421,885000.0
16953,594000.0
4058,271500.0
15545,370000.0
17708,250000.0
3585,795000.0
14858,330000.0
11078,279900.0
14149,277000.0
7369,550000.0
13320,375000.0
7924,249000.0
8122,871000.0
9999,385000.0
2141,665000.0
19523,260000.0
5654,370000.0
11967,207000.0
17948,839000.0
19076,549995.0
7809,787000.0
19713,500000.0
7912,180000.0
6503,345000.0
6508,875000.0
17519,176000.0
17172,261500.0
12597,413000.0
19507,502000.0
17442,575000.0
13073,500000.0
7757,631750.0
12843,322000.0
4978,395000.0
19251,500000.0
14573,464000.0
18784,557000.0
19226,334990.0
3686,395000.0
408,482000.0
1201,780000.0
16556,310000.0
1338,439000.0
1272,267500.0
18194,625000.0
18365,237500.0
9862,268500.0
18641,550000.0
16396,1230000.0
2026,870000.0
4282,790000.0
15591,285000.0
10980,495000.0
960,585000.0
3115,491500.0
1489,355000.0
2255,815000.0
16320,649800.0
6405,782000.0
11820,385000.0
7387,542500.0
17621,452000.0
17155,515000.0
16630,997950.0
19500,334500.0
20791,1720000.0
2003,1250000.0
9995,385000.0
4193,639000.0
911,570000.0
17803,350500.0
2687,750000.0
15575,1430000.0
5098,294950.0
3826,735000.0
4974,878000.0
4609,720000.0
16150,405000.0
6842,410000.0
20162,631500.0
10562,357000.0
4156,395000.0
19566,585000.0
12971,275000.0
8673,450000.0
19169,419354.0
17215,296500.0
8928,412133.0
17585,550000.0
16245,386000.0
4291,284000.0
17756,349950.0
4880,479990.0
4954,650000.0
13126,780000.0
6687,208000.0
5893,1240000.0
20293,305450.0
8623,366000.0
5382,422000.0
1710,355000.0
5128,319950.0
18581,319000.0
12204,489500.0
6243,455000.0
15081,330000.0
15860,706000.0
15818,742500.0
9405,259500.0
9270,350000.0
474,452000.0
6100,355000.0
13702,321500.0
14627,555700.0
18422,872000.0
15665,840000.0
19490,385000.0
11818,344000.0
9822,235000.0
6328,200000.0
9298,920000.0
5502,380000.0
13220,338000.0
19288,450000.0
5332,250000.0
3979,545000.0
385,530000.0
16775,1200000.0
3532,281000.0
10074,570000.0
2043,180500.0
9535,503000.0
12509,206000.0
4447,1130000.0
16227,560000.0
11633,513000.0
14731,359000.0
3415,334550.0
5129,210000.0
12898,252000.0
15380,427500.0
3248,485000.0
7671,612500.0
13287,409000.0
6399,359000.0
2270,234000.0
18635,390000.0
12374,538000.0
8164,739900.0
5456,487000.0
11304,191950.0
16545,272000.0
4333,300000.0
10346,375000.0
3207,299000.0
447,1050000.0
15100,260000.0
971,258000.0
9857,539000.0
15870,570000.0
7983,425000.0
16421,421000.0
6835,990000.0
10978,533000.0
13491,262500.0
14152,267000.0
9125,355000.0
17843,401000.0
7303,679000.0
17985,520000.0
3778,1380000.0
3820,635000.0
3035,431000.0
12868,667000.0
5732,554000.0
10810,674000.0
11388,218000.0
12750,525000.0
8898,443500.0
15401,550285.0
1456,621138.0
11631,338995.0
15683,528000.0
11132,475000.0
5763,295000.0
3638,816000.0
19441,368000.0
1599,960000.0
17702,182500.0
2315,968933.0
13249,265000.0
2501,320000.0
10072,315000.0
8797,429000.0
16160,213500.0
4375,197500.0
44,488000.0
19327,1210000.0
20858,530000.0
11681,299000.0
4290,570000.0
1730,465000.0
15001,266750.0
15133,252000.0
1474,935000.0
10062,359000.0
12487,575000.0
15867,333000.0
2450,715000.0
10888,1400000.0
18806,595000.0
4909,833000.0
12140,213800.0
538,238000.0
4730,465000.0
15890,688000.0
6707,650000.0
1052,550000.0
19928,320000.0
2578,315500.0
10733,1110000.0
19088,442000.0
2235,437000.0
9147,279000.0
14297,343000.0
3682,524000.0
744,760000.0
11568,760000.0
8375,450000.0
12073,366400.0
4667,988830.0
13453,335000.0
7516,430000.0
8599,452000.0
19613,415000.0
6006,606000.0
9567,317500.0
16603,135000.0
9376,349000.0
6628,110000.0
1077,350900.0
10598,554729.0
1512,525000.0
18613,580000.0
17152,839000.0
18121,229000.0
17025,160000.0
19617,380000.0
2998,415000.0
14773,513000.0
20382,389517.0
10768,650000.0
8845,450000.0
14092,895000.0
5553,580000.0
20401,359950.0
16337,300000.0
15428,850000.0
10163,645000.0
7998,193000.0
6228,259000.0
3310,276000.0
3836,810000.0
18848,420000.0
15744,209950.0
14809,190000.0
8157,607000.0
14129,574800.0
13173,240000.0
13300,199950.0
12980,415000.0
18500,405000.0
7301,382000.0
16205,277500.0
17034,970000.0
3886,704300.0
9430,365000.0
2145,265000.0
10031,309950.0
9400,259000.0
18864,246000.0
6069,490000.0
10113,402500.0
341,315000.0
8268,324000.0
5934,300000.0
12244,345000.0
10193,385000.0
16770,600000.0
6664,410500.0
346,420000.0
5597,272000.0
16660,499000.0
8310,279000.0
14661,310000.0
11295,412000.0
7324,678940.0
3525,397000.0
8952,490000.0
856,466000.0
3388,525000.0
20813,420000.0
12166,205000.0
16833,805000.0
9149,495000.0
14145,855000.0
7649,585000.0
10043,285000.0
19768,530000.0
9442,505000.0
1114,1960000.0
4148,432500.0
13879,319500.0
2710,1390000.0
17252,950000.0
7359,288250.0
20835,999999.0
5749,620000.0
12986,716500.0
8365,139000.0
6409,313000.0
14685,490000.0
3821,350000.0
17413,320000.0
10862,295000.0
20744,435000.0
812,320000.0
6848,587206.0
8969,600000.0
18949,235000.0
16207,890000.0
4265,1250000.0
17799,306000.0
20723,598500.0
14810,340000.0
19722,274000.0
4884,731100.0
10590,440000.0
15243,1690000.0
3533,620000.0
17814,359000.0
15314,440000.0
10579,442500.0
7077,485000.0
15455,652600.0
11368,325000.0
14278,213675.0
7333,390000.0
18015,515000.0
4013,340000.0
649,460000.0
16787,919000.0
13591,510000.0
5195,345000.0
20782,433000.0
17189,583500.0
13585,292000.0
10016,429000.0
18350,308900.0
12359,495000.0
19692,279000.0
11521,522500.0
10363,406500.0
17895,475000.0
12357,229950.0
5357,406430.0
16518,845000.0
16714,220000.0
11255,198000.0
7551,685900.0
9731,577500.0
15693,420000.0
19897,212000.0
12032,1070000.0
9989,446000.0
15645,375000.0
5532,325000.0
8319,340000.0
10628,320000.0
1290,960000.0
7775,499000.0
12484,275000.0
12526,455500.0
12590,644500.0
15137,160000.0
5458,898000.0
17647,430000.0
17655,270000.0
3171,921500.0
20322,580000.0
2797,510000.0
13153,382000.0
6735,707000.0
14222,562000.0
19424,635000.0
15208,595000.0
563,268500.0
16629,450000.0
13890,800000.0
18695,812000.0
20742,255000.0
8757,499000.0
19343,287000.0
16270,610000.0
19112,385000.0
6940,225000.0
5662,399000.0
20085,641000.0
7048,570000.0
6649,543000.0
640,496500.0
8063,455000.0
16895,650000.0
11170,804000.0
14994,273500.0
8801,420000.0
18498,250000.0
2112,490000.0
19116,645000.0
16741,1210000.0
6741,320000.0
8233,320000.0
13366,273500.0
18993,377000.0
10342,375000.0
1978,319990.0
4981,308000.0
6061,760000.0
15354,330000.0
6506,725000.0
10676,389900.0
14355,952000.0
290,404000.0
5992,313100.0
15543,750000.0
15058,715000.0
11719,375000.0
4072,384400.0
4696,240000.0
19314,631625.0
15359,300499.0
19105,745000.0
16867,209950.0
5751,796000.0
20032,515000.0
7704,635000.0
3965,360000.0
3643,160000.0
4509,465000.0
13882,795000.0
12555,180000.0
19740,271115.0
2457,265000.0
10901,710000.0
20333,345000.0
13709,675000.0
8374,385000.0
3015,752500.0
4738,832500.0
2781,425000.0
16777,242000.0
15461,825000.0
6921,237000.0
2898,945000.0
7293,1490000.0
13897,570000.0
18718,570000.0
12239,680000.0
11285,840000.0
19449,310000.0
5407,335000.0
803,350000.0
20411,447000.0
11216,1300000.0
10162,389100.0
14091,395000.0
20005,256703.0
12217,361500.0
4269,812000.0
2702,175000.0
6020,200000.0
4847,550000.0
1087,1200000.0
4819,430000.0
20017,619990.0
19292,530000.0
18417,285000.0
9948,464000.0
20116,450000.0
12460,663000.0
11699,315000.0
6467,769000.0
11272,410000.0
1807,832000.0
9153,665000.0
16674,569950.0
15118,265000.0
936,582800.0
14000,153500.0
13389,525000.0
15825,262500.0
14332,219900.0
1288,435000.0
9325,1570000.0
6253,775000.0
8829,557510.0
10885,257000.0
12594,395000.0
8550,750000.0
11643,585000.0
10512,440000.0
17093,550000.0
15172,305000.0
12382,310000.0
13664,300000.0
1182,365000.0
2392,1010000.0
15043,175000.0
15516,331000.0
776,625000.0
16607,642000.0
16675,212500.0
20164,369950.0
8349,995000.0
9925,405000.0
15209,850000.0
3488,510000.0
3882,494000.0
18318,279000.0
14176,620000.0
10119,820000.0
8810,300000.0
20622,458000.0
1097,1280000.0
9618,799000.0
5282,765000.0
3482,525000.0
1311,933399.0
4579,1850000.0
17869,255000.0
15175,645000.0
20449,346100.0
12562,295000.0
15084,687000.0
3315,425000.0
13857,340000.0
17284,440000.0
17041,293000.0
12944,313100.0
19529,730000.0
718,740000.0
20201,270500.0
8254,752000.0
8626,950000.0
14900,398000.0
16637,305000.0
20423,424950.0
12795,410000.0
10656,410000.0
14030,359800.0
2879,604000.0
6132,215000.0
10533,570000.0
16677,1460000.0
6015,810000.0
12726,425000.0
12309,425000.0
7882,275000.0
2616,438000.0
351,329500.0
8056,350000.0
15155,355000.0
16295,392000.0
10305,715000.0
15938,380500.0
19339,439108.0
5929,639900.0
8425,237500.0
19608,378000.0
17848,310000.0
503,890000.0
18196,335000.0
3295,297500.0
2676,340000.0
12705,260000.0
5438,560000.0
15204,565000.0
9923,708000.0
8753,254000.0
119,660000.0
13695,279000.0
2386,432500.0
14971,549800.0
15956,298500.0
2393,335000.0
12800,492000.0
16573,175000.0
8688,214000.0
