,price
4495,469000.0
4860,175000.0
5234,292600.0
1780,190000.0
7270,295000.0
3919,475000.0
16387,578000.0
21269,319000.0
19111,275400.0
16132,437400.0
17944,850000.0
6415,775000.0
14718,236000.0
8161,370000.0
10859,575000.0
3649,387500.0
7470,370000.0
8888,392500.0
10493,385000.0
19164,475000.0
5708,263000.0
5079,475000.0
2990,320000.0
2687,461000.0
3525,865000.0
3732,277284.0
14146,433000.0
4888,365000.0
18373,474000.0
12996,340000.0
6725,319000.0
12111,555000.0
17878,239000.0
18429,358500.0
4887,952000.0
4755,800866.0
10121,860000.0
15600,312000.0
8874,287000.0
17773,799000.0
9255,273000.0
20104,439990.0
17214,299900.0
4206,255000.0
15551,560000.0
21335,565000.0
4309,430000.0
21231,510000.0
6935,589900.0
20340,359950.0
7576,379900.0
21448,380000.0
20999,338500.0
19061,191000.0
7174,249000.0
5025,464000.0
17948,765000.0
13804,479000.0
12079,490000.0
12227,589000.0
20236,1300000.0
20373,390000.0
8857,205950.0
17954,260000.0
6165,352000.0
20954,355000.0
8481,200000.0
16279,672500.0
7139,721000.0
16799,352500.0
1836,1100000.0
2337,1370000.0
12674,209950.0
19992,759000.0
12395,352000.0
7223,438000.0
8069,450000.0
7471,260656.0
13036,532000.0
15645,420000.0
4695,1200000.0
18815,400000.0
16592,685000.0
5671,998000.0
13004,230000.0
21314,685000.0
17700,242000.0
2976,495000.0
2832,675500.0
9990,620000.0
1586,443500.0
13481,790000.0
498,625000.0
10820,945000.0
1552,957500.0
9718,270000.0
134,675000.0
19896,1260000.0
7794,321000.0
3558,539950.0
20777,749950.0
21029,518380.0
8123,344950.0
6956,1580000.0
15505,242000.0
12760,650000.0
21433,650000.0
10281,595000.0
1686,510000.0
15557,620000.0
4357,600000.0
18050,210000.0
7031,717000.0
20517,250000.0
13950,306500.0
7479,242000.0
19522,379950.0
4075,280000.0
3901,455000.0
4696,670000.0
21454,249000.0
10765,630000.0
11993,1300000.0
5619,885000.0
17512,594000.0
4220,271500.0
16061,370000.0
18289,250000.0
3729,795000.0
15350,330000.0
11452,279900.0
14615,277000.0
7620,550000.0
13764,375000.0
8199,249000.0
8402,871000.0
10342,385000.0
2223,665000.0
20167,260000.0
5857,370000.0
12376,207000.0
18540,839000.0
19703,549995.0
8077,787000.0
20364,500000.0
8185,180000.0
6727,345000.0
6732,875000.0
18092,176000.0
17733,261500.0
13023,413000.0
20151,502000.0
18012,575000.0
13512,500000.0
8025,631750.0
13275,322000.0
5165,395000.0
19887,500000.0
15054,464000.0
19405,557000.0
19862,334990.0
3833,395000.0
420,482000.0
1244,780000.0
17102,310000.0
1389,439000.0
1321,267500.0
18792,625000.0
18968,237500.0
10204,268500.0
19256,550000.0
16937,1230000.0
2106,870000.0
4452,790000.0
16108,285000.0
11349,495000.0
990,585000.0
3239,491500.0
1548,355000.0
2342,815000.0
16860,649800.0
6627,782000.0
12222,385000.0
7640,542500.0
18199,452000.0
17716,515000.0
17177,997950.0
20144,334500.0
21469,1720000.0
2082,1250000.0
10338,385000.0
4361,639000.0
941,570000.0
18386,350500.0
2793,750000.0
16092,1430000.0
5287,294950.0
3979,735000.0
5161,878000.0
4788,720000.0
16682,405000.0
7077,410000.0
20828,631500.0
10918,357000.0
4323,395000.0
20210,585000.0
13407,275000.0
8967,450000.0
19802,419354.0
17776,296500.0
9231,412133.0
18161,550000.0
16780,386000.0
4461,284000.0
18339,349950.0
5063,479990.0
5139,650000.0
13566,780000.0
6916,208000.0
6103,1240000.0
20962,305450.0
8916,366000.0
5580,422000.0
1777,355000.0
5318,319950.0
19192,319000.0
12622,489500.0
6460,455000.0
15582,330000.0
16386,706000.0
16343,742500.0
9731,259500.0
9588,350000.0
490,452000.0
6315,355000.0
14156,321500.0
15110,555700.0
19028,872000.0
16183,840000.0
20133,385000.0
12220,344000.0
10163,235000.0
6549,200000.0
9619,920000.0
5702,380000.0
13661,338000.0
19925,450000.0
5530,250000.0
4137,545000.0
396,530000.0
17327,1200000.0
3670,281000.0
10419,570000.0
2124,180500.0
9869,503000.0
12934,206000.0
4619,1130000.0
16762,560000.0
12030,513000.0
15218,359000.0
3548,334550.0
5319,210000.0
13331,252000.0
15892,427500.0
3377,485000.0
7935,612500.0
13731,409000.0
6620,359000.0
2358,234000.0
19250,390000.0
12794,538000.0
8444,739900.0
5655,487000.0
11687,191950.0
17091,272000.0
4503,300000.0
10696,375000.0
3334,299000.0
460,1050000.0
15601,260000.0
1001,258000.0
10198,539000.0
16396,570000.0
8261,425000.0
16963,421000.0
7069,990000.0
11347,533000.0
13939,262500.0
14618,267000.0
9437,355000.0
18430,401000.0
7553,679000.0
18577,520000.0
3930,1380000.0
3973,635000.0
3156,431000.0
13300,667000.0
5937,554000.0
11175,674000.0
11777,218000.0
13182,525000.0
9200,443500.0
15914,550285.0
1513,621138.0
12027,338995.0
16201,528000.0
11508,475000.0
5969,295000.0
3784,816000.0
20083,368000.0
1660,960000.0
18282,182500.0
2405,968933.0
13691,265000.0
2597,320000.0
10417,315000.0
9095,429000.0
16692,213500.0
4545,197500.0
45,488000.0
19965,1210000.0
21541,530000.0
12080,299000.0
4460,570000.0
1797,465000.0
15497,266750.0
15635,252000.0
1531,935000.0
10406,359000.0
12912,575000.0
16393,333000.0
2545,715000.0
11256,1400000.0
19428,595000.0
5092,833000.0
12553,213800.0
557,238000.0
4911,465000.0
16417,688000.0
6937,650000.0
1085,550000.0
20590,320000.0
2682,315500.0
11096,1110000.0
19715,442000.0
2322,437000.0
9461,279000.0
14768,343000.0
3829,524000.0
768,760000.0
11961,760000.0
8663,450000.0
12485,366400.0
4847,988830.0
13901,335000.0
7774,430000.0
8891,452000.0
20263,415000.0
6218,606000.0
9902,317500.0
17149,135000.0
9699,349000.0
6855,110000.0
1111,350900.0
10957,554729.0
1571,525000.0
19226,580000.0
17713,839000.0
18718,229000.0
17584,160000.0
20267,380000.0
3116,415000.0
15262,513000.0
21053,389517.0
11132,650000.0
9147,450000.0
14557,895000.0
5754,580000.0
21073,359950.0
16878,300000.0
15941,850000.0
10510,645000.0
8277,193000.0
6445,259000.0
3440,276000.0
3989,810000.0
19471,420000.0
16264,209950.0
15298,190000.0
8437,607000.0
14595,574800.0
13613,240000.0
13744,199950.0
13416,415000.0
19109,405000.0
7551,382000.0
16739,277500.0
17594,970000.0
4041,704300.0
9756,365000.0
2227,265000.0
10375,309950.0
9726,259000.0
19487,246000.0
6283,490000.0
10459,402500.0
352,315000.0
8551,324000.0
6144,300000.0
12662,345000.0
10540,385000.0
17322,600000.0
6893,410500.0
357,420000.0
5799,272000.0
17208,499000.0
8594,279000.0
15145,310000.0
11678,412000.0
7574,678940.0
3663,397000.0
9259,490000.0
886,466000.0
3518,525000.0
21494,420000.0
12582,205000.0
17388,805000.0
9463,495000.0
14611,855000.0
7912,585000.0
10387,285000.0
20422,530000.0
9769,505000.0
1150,1960000.0
4315,432500.0
14338,319500.0
2816,1390000.0
17813,950000.0
7610,288250.0
21517,999999.0
5954,620000.0
13422,716500.0
8653,139000.0
6631,313000.0
15171,490000.0
3974,350000.0
17980,320000.0
11228,295000.0
21422,435000.0
841,320000.0
7083,587206.0
9277,600000.0
19573,235000.0
16741,890000.0
4435,1250000.0
18382,306000.0
21401,598500.0
15299,340000.0
20374,274000.0
5067,731100.0
10948,440000.0
15750,1690000.0
3671,620000.0
18398,359000.0
15823,440000.0
10935,442500.0
7322,485000.0
15968,652600.0
11757,325000.0
14749,213675.0
7583,390000.0
18607,515000.0
4172,340000.0
670,460000.0
17339,919000.0
14042,510000.0
5386,345000.0
21460,433000.0
17750,583500.0
14036,292000.0
10359,429000.0
18952,308900.0
12779,495000.0
20343,279000.0
11914,522500.0
10713,406500.0
18486,475000.0
12777,229950.0
5555,406430.0
17062,845000.0
17263,220000.0
11635,198000.0
7809,685900.0
10071,577500.0
16212,420000.0
20558,212000.0
12443,1070000.0
10332,446000.0
16162,375000.0
5732,325000.0
8603,340000.0
10988,320000.0
1339,960000.0
8043,499000.0
12909,275000.0
12951,455500.0
13016,644500.0
15639,160000.0
5657,898000.0
18225,430000.0
18233,270000.0
3296,921500.0
