,price
3902,725000.0
18189,293000.0
13416,306000.0
13337,480000.0
4154,371000.0
17230,380000.0
12810,840000.0
5805,249900.0
505,190000.0
2857,483000.0
20632,305000.0
1432,423000.0
5834,510000.0
4554,502000.0
10454,325000.0
10250,340000.0
15897,755000.0
10529,735000.0
20026,380000.0
8242,395000.0
3371,425000.0
13748,525126.0
4367,700000.0
11805,615000.0
10476,995000.0
17300,299000.0
610,565000.0
12186,385000.0
9252,545000.0
11952,524000.0
19539,430760.0
10989,565000.0
19754,471500.0
15631,915000.0
16970,336900.0
5761,315000.0
18316,465000.0
11614,432500.0
3448,310000.0
15371,379950.0
4800,790000.0
8915,704000.0
18413,355000.0
14204,569950.0
18968,413100.0
18170,676500.0
4012,400000.0
20068,286308.0
9575,325000.0
3944,389000.0
14503,267950.0
4308,474000.0
2919,310000.0
3501,593700.0
10926,492000.0
17846,325000.0
4660,210000.0
14724,585000.0
5869,270000.0
19072,522500.0
17890,301000.0
11406,362000.0
14822,255000.0
6613,765000.0
448,348000.0
11316,750000.0
19466,437500.0
12785,499950.0
7713,980000.0
2089,501000.0
7676,251000.0
6534,350000.0
19828,1030000.0
14568,840000.0
18974,370000.0
7047,285000.0
19283,541000.0
1127,274700.0
17893,550000.0
4407,302500.0
1799,618000.0
6434,193000.0
15528,560000.0
18393,375000.0
15109,249950.0
8675,1080000.0
12934,435000.0
13805,1100000.0
19757,262000.0
12246,355000.0
5015,685000.0
19319,1270000.0
14088,400000.0
20086,2300000.0
3441,405000.0
14161,835000.0
8239,215000.0
12761,324950.0
15299,525000.0
14833,235000.0
4384,160000.0
5758,325900.0
4288,369000.0
20037,480000.0
19423,449950.0
17931,410000.0
12876,739888.0
13289,530000.0
3260,405000.0
18550,430000.0
15426,240000.0
17968,476000.0
11558,625000.0
19171,366000.0
16755,475000.0
5070,535000.0
11243,425000.0
2947,950000.0
5859,1100000.0
2840,438000.0
13950,465000.0
2615,410000.0
12343,170000.0
10359,135000.0
177,330000.0
8790,314000.0
19813,680000.0
15561,200000.0
12794,316000.0
7695,355500.0
9452,680200.0
4081,722000.0
1511,776500.0
10977,400000.0
5858,175000.0
13901,550700.0
3942,359950.0
16593,405000.0
7802,540000.0
20058,590000.0
8034,689000.0
13972,290700.0
19184,760000.0
19874,425000.0
473,1280000.0
11071,390000.0
19707,494815.0
8980,449228.0
1846,640000.0
19355,547500.0
11893,270000.0
8698,230000.0
12381,535000.0
12557,245000.0
11032,106000.0
12066,530000.0
1327,520000.0
8171,340000.0
3418,300000.0
5825,650000.0
10446,175000.0
7479,258000.0
7484,472000.0
5847,760000.0
1681,451555.0
1452,390000.0
775,422120.0
2109,750000.0
17926,635000.0
12395,727000.0
12287,780000.0
1365,350000.0
6874,738950.0
10645,1380000.0
6756,325000.0
18239,475000.0
7198,292000.0
14493,585000.0
7877,503000.0
299,550700.0
1107,225500.0
9926,550000.0
850,200000.0
8203,285000.0
9814,462000.0
8583,183000.0
11591,1400000.0
2246,510000.0
16851,416000.0
14522,265000.0
3031,288400.0
13875,319000.0
1608,293000.0
6383,472500.0
7307,725000.0
10880,950000.0
6909,530000.0
8,323000.0
12671,360000.0
14461,295000.0
19755,1020000.0
7661,279000.0
4040,512500.0
5658,175000.0
10279,440000.0
13766,429950.0
16742,580000.0
8466,159075.0
19677,1210000.0
7306,562000.0
15244,525000.0
5101,1160000.0
3801,1150000.0
16828,780000.0
3097,290000.0
10334,335000.0
18129,488000.0
11551,201000.0
4787,385000.0
11148,550000.0
17557,760000.0
7784,760000.0
10747,632500.0
9863,515000.0
12052,222500.0
3657,245000.0
3706,525000.0
1190,250275.0
10730,575000.0
20187,428000.0
19945,635000.0
12736,680000.0
10547,332000.0
8908,307150.0
10664,1130000.0
5973,1040000.0
15269,162500.0
18716,1950000.0
16092,313500.0
14697,975000.0
5632,287000.0
10104,1150000.0
7639,634000.0
16399,645000.0
9800,670000.0
12784,683500.0
19127,540000.0
11127,475000.0
12438,255000.0
5786,599000.0
18775,229000.0
9431,499000.0
14328,554000.0
10325,595000.0
7317,625000.0
8843,898500.0
15647,257000.0
20620,490000.0
11512,406250.0
16055,439000.0
20601,355000.0
2478,212000.0
1197,375000.0
9445,265000.0
14425,415000.0
10184,269000.0
20774,649500.0
11655,661000.0
1808,835000.0
18405,724950.0
8925,700000.0
15008,431000.0
12184,740000.0
263,436000.0
9935,309900.0
20148,735000.0
11487,625000.0
18990,855169.0
19153,395000.0
14084,540000.0
6515,247000.0
1571,177500.0
13371,400000.0
14779,364500.0
7811,650000.0
9961,402000.0
20425,320000.0
6180,350000.0
20747,914500.0
13627,740000.0
1370,340895.0
3090,650000.0
13017,446800.0
5038,438500.0
15898,269900.0
10841,425000.0
8387,390000.0
20402,720000.0
13800,365000.0
15542,359950.0
17355,215000.0
6760,525000.0
7810,537000.0
20016,360000.0
16466,537000.0
10341,222000.0
8862,299000.0
6013,449000.0
6677,885000.0
8453,358000.0
12543,280000.0
17682,285000.0
15571,589000.0
11385,237502.0
17817,252000.0
5987,287000.0
7113,1150000.0
12560,565000.0
12572,600000.0
725,435000.0
17956,675000.0
13201,201000.0
1976,349000.0
11214,355000.0
1442,249000.0
8573,455000.0
8604,840000.0
2309,450000.0
13432,390000.0
1766,260000.0
20468,700000.0
20212,850000.0
10431,209000.0
6740,690000.0
1488,450000.0
4907,420000.0
17406,300000.0
5164,263000.0
17234,510000.0
8188,410988.0
7459,790000.0
16676,680000.0
15031,259000.0
14268,312200.0
9853,221900.0
4638,760000.0
19119,1580000.0
9138,499000.0
11031,590000.0
19392,895000.0
7907,600000.0
19275,360000.0
1655,360400.0
16596,355000.0
2861,427000.0
5431,364000.0
5908,345000.0
2531,250000.0
2183,287500.0
17402,400000.0
12101,432000.0
3322,1290000.0
19609,313200.0
18724,530000.0
17353,637000.0
17265,159100.0
5903,289200.0
13681,664000.0
4812,400000.0
2126,760000.0
10755,530000.0
9406,354000.0
1011,197500.0
14234,199000.0
2088,342500.0
18900,385000.0
981,900000.0
16772,815000.0
18810,310000.0
7771,278000.0
16065,767250.0
4834,798750.0
9498,225000.0
5267,450000.0
8341,530000.0
8679,225000.0
1246,420000.0
800,465750.0
2074,550000.0
1483,495000.0
8342,430000.0
7668,360000.0
9703,620000.0
3290,475500.0
20524,615000.0
914,419000.0
19576,724500.0
16598,385000.0
15306,499950.0
12134,545000.0
15856,616000.0
19688,657044.0
12878,800000.0
10274,435000.0
16003,335500.0
9253,244000.0
18153,502501.0
8866,405000.0
16008,1190000.0
7020,1200000.0
2432,392450.0
7537,1040000.0
17810,705000.0
5771,458500.0
11642,700000.0
3387,802000.0
19164,326989.0
13421,850000.0
16470,179950.0
3217,675000.0
15281,375000.0
8576,364500.0
3813,122000.0
796,431000.0
11209,850000.0
18465,250000.0
8796,685000.0
11990,190848.0
2619,749999.0
8918,875000.0
12167,350000.0
1748,1430000.0
17116,389900.0
9525,885000.0
5309,485000.0
1122,267500.0
9640,388500.0
3101,551000.0
20010,499950.0
84,940000.0
11902,795127.0
20737,800000.0
10289,439000.0
14881,270000.0
9869,450000.0
10215,440000.0
18704,628990.0
3099,875000.0
9992,500000.0
11412,364900.0
20745,639000.0
13838,570000.0
11751,290000.0
14418,263950.0
7739,230000.0
5700,925000.0
13356,760000.0
11200,255000.0
6815,307550.0
19882,295000.0
17632,459800.0
14706,471000.0
8156,2140000.0
9704,375000.0
5118,375000.0
2231,1810000.0
14880,679000.0
14869,880000.0
3053,450000.0
10675,450000.0
14440,505000.0
6472,235000.0
9426,306500.0
6510,1880000.0
8891,625000.0
16962,439950.0
1592,330000.0
17427,550000.0
4850,459000.0
16304,280000.0
17828,295000.0
14059,156000.0
9710,574000.0
11188,440000.0
10499,540000.0
3221,1100000.0
14225,242000.0
13556,286000.0
5625,690000.0
3546,830000.0
8366,485000.0
2404,700000.0
14095,165000.0
6512,495000.0
20163,399995.0
16890,219500.0
3369,500000.0
13597,284000.0
7911,350000.0
9050,925000.0
19406,675000.0
9919,125000.0
17898,490000.0
6329,234000.0
17615,660000.0
1904,635000.0
18062,825000.0
10679,398000.0
15074,435000.0
15640,960000.0
5638,833000.0
434,1030000.0
2528,455000.0
7502,195000.0
4856,1200000.0
20619,539900.0
20488,663000.0
7488,460000.0
2834,225000.0
2203,348000.0
3445,200000.0
14694,157500.0
19585,453000.0
509,727500.0
4280,500000.0
14705,528000.0
18715,215000.0
17827,618500.0
14216,1040000.0
9165,645000.0
6866,555000.0
17007,90000.0
9123,390000.0
15181,418200.0
20095,800000.0
19364,739000.0
7725,249950.0
18849,234000.0
14364,389000.0
19197,359000.0
12631,2250000.0
11807,530000.0
12893,210000.0
20706,317750.0
932,210000.0
16166,495000.0
15241,500000.0
19569,459000.0
20202,640000.0
20498,646800.0
3685,300000.0
3484,356000.0
13332,218500.0
10404,210000.0
18191,280000.0
7789,417000.0
9773,700000.0
3337,373000.0
1368,799000.0
4204,350000.0
10439,281000.0
14628,690000.0
1547,229900.0
